Date,Open,,,,,
7-Nov-17,7023.1,,,,,
6-Nov-17,7403.22,,,,,
5-Nov-17,7404.52,,,,,
4-Nov-17,7164.48,,,,,
3-Nov-17,7087.53,,,,,
2-Nov-17,6777.77,,,,,
1-Nov-17,6440.97,,,,,
31-Oct-17,6132.02,,,,,
30-Oct-17,6114.85,,,,,
29-Oct-17,5754.44,,,,,
28-Oct-17,5787.82,,,,,
27-Oct-17,5899.74,,,,,
26-Oct-17,5747.95,,,,,
25-Oct-17,5524.6,,,,,
24-Oct-17,5935.52,,,,,
23-Oct-17,6006,,,,,
22-Oct-17,6036.66,,,,,
21-Oct-17,5996.79,,,,,
20-Oct-17,5708.11,,,,,
19-Oct-17,5583.74,,,,,
18-Oct-17,5603.82,,,,,
17-Oct-17,5741.58,,,,,
16-Oct-17,5687.57,,,,,
15-Oct-17,5835.96,,,,,
14-Oct-17,5643.53,,,,,
13-Oct-17,5464.16,,,,,
12-Oct-17,4829.58,,,,,
11-Oct-17,4789.25,,,,,
10-Oct-17,4776.21,,,,,
9-Oct-17,4614.52,,,,,
8-Oct-17,4429.67,,,,,
7-Oct-17,4369.35,,,,,
6-Oct-17,4324.46,,,,,
5-Oct-17,4229.88,,,,,
4-Oct-17,4319.37,,,,,
3-Oct-17,4408.46,,,,,
2-Oct-17,4395.81,,,,,
1-Oct-17,4341.05,,,,,
30-Sep-17,4166.11,,,,,
29-Sep-17,4171.62,,,,,
28-Sep-17,4197.13,,,,,
27-Sep-17,3892.94,,,,,
26-Sep-17,3928.41,,,,,
25-Sep-17,3681.58,,,,,
24-Sep-17,3796.15,,,,,
23-Sep-17,3629.92,,,,,
22-Sep-17,3628.02,,,,,
21-Sep-17,3901.47,,,,,
20-Sep-17,3916.36,,,,,
19-Sep-17,4073.79,,,,,
18-Sep-17,3591.09,,,,,
17-Sep-17,3606.28,,,,,
16-Sep-17,3637.75,,,,,
15-Sep-17,3166.3,,,,,
14-Sep-17,3875.37,,,,,
13-Sep-17,4131.98,,,,,
12-Sep-17,4168.88,,,,,
11-Sep-17,4122.47,,,,,
10-Sep-17,4229.34,,,,,
9-Sep-17,4229.81,,,,,
8-Sep-17,4605.16,,,,,
7-Sep-17,4589.14,,,,,
6-Sep-17,4376.59,,,,,
5-Sep-17,4228.29,,,,,
4-Sep-17,4591.63,,,,,
3-Sep-17,4585.27,,,,,
2-Sep-17,4901.42,,,,,
1-Sep-17,4701.76,,,,,
31-Aug-17,4555.59,,,,,
30-Aug-17,4570.36,,,,,
29-Aug-17,4389.21,,,,,
28-Aug-17,4384.45,,,,,
27-Aug-17,4345.1,,,,,
26-Aug-17,4372.06,,,,,
25-Aug-17,4332.82,,,,,
24-Aug-17,4137.6,,,,,
23-Aug-17,4089.01,,,,,
22-Aug-17,3998.35,,,,,
21-Aug-17,4090.48,,,,,
20-Aug-17,4189.31,,,,,
19-Aug-17,4137.75,,,,,
18-Aug-17,4324.34,,,,,
17-Aug-17,4384.44,,,,,
16-Aug-17,4200.34,,,,,
15-Aug-17,4326.99,,,,,
14-Aug-17,4066.1,,,,,
13-Aug-17,3880.04,,,,,
12-Aug-17,3650.63,,,,,
11-Aug-17,3373.82,,,,,
10-Aug-17,3341.84,,,,,
9-Aug-17,3420.4,,,,,
8-Aug-17,3370.22,,,,,
7-Aug-17,3212.78,,,,,
6-Aug-17,3257.61,,,,,
5-Aug-17,2897.63,,,,,
4-Aug-17,2806.93,,,,,
3-Aug-17,2709.56,,,,,
2-Aug-17,2727.13,,,,,
1-Aug-17,2871.3,,,,,
31-Jul-17,2763.24,,,,,
30-Jul-17,2724.39,,,,,
29-Jul-17,2807.02,,,,,
28-Jul-17,2679.73,,,,,
27-Jul-17,2538.71,,,,,
26-Jul-17,2577.77,,,,,
25-Jul-17,2757.5,,,,,
24-Jul-17,2732.7,,,,,
23-Jul-17,2808.1,,,,,
22-Jul-17,2668.63,,,,,
21-Jul-17,2838.41,,,,,
20-Jul-17,2269.89,,,,,
19-Jul-17,2323.08,,,,,
18-Jul-17,2233.52,,,,,
17-Jul-17,1932.62,,,,,
16-Jul-17,1991.98,,,,,
15-Jul-17,2230.12,,,,,
14-Jul-17,2360.59,,,,,
13-Jul-17,2402.7,,,,,
12-Jul-17,2332.77,,,,,
11-Jul-17,2385.89,,,,,
10-Jul-17,2525.25,,,,,
9-Jul-17,2572.61,,,,,
8-Jul-17,2520.27,,,,,
7-Jul-17,2608.59,,,,,
6-Jul-17,2608.1,,,,,
5-Jul-17,2602.87,,,,,
4-Jul-17,2561,,,,,
3-Jul-17,2498.56,,,,,
2-Jul-17,2436.4,,,,,
